"","pubDate","tweet","author"
"1","Tue, 11 Dec 2012 09:19:23 +0000","RT if you want to watch Parokya ni Edgar, 6Cyclemind, and Bamboo perform LIVE on our Pamasko ng Globe event! :) #GlobeiPhone5","enjoyGLOBE@twitter.com (Globe Telecom)"
"2","Tue, 11 Dec 2012 09:11:05 +0000","Ur fave celebs will be there: @KrisAquino214 @NikkiGil @XtianBautista @mePauloAvelino &amp; more! RT if u're excited to see them! #GlobeiPhone5","enjoyGLOBE@twitter.com (Globe Telecom)"
"3","Tue, 11 Dec 2012 08:53:24 +0000","YOU ARE INVITED! Join us at the biggest Christmas event of the year, PAMASKO NG GLOBE! :) #GlobeiPhone5 http://t.co/Mer8c3jv","enjoyGLOBE@twitter.com (Globe Telecom)"
"4","Thu, 13 Dec 2012 01:58:33 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 573","carldesales@twitter.com (B▲DDIE_C▲RL)"
"5","Thu, 13 Dec 2012 01:58:24 +0000","RT @beckynights: Find out who won the iPhone Drop Challenge and win a #GLOBEiPhone5 ! http://t.co/F3SRXxvK RT!!! ******---","wonderJOSH@twitter.com (★Josh Tubungbanua★)"
"6","Thu, 13 Dec 2012 01:58:11 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 572","carldesales@twitter.com (B▲DDIE_C▲RL)"
"7","Thu, 13 Dec 2012 01:57:45 +0000","@djmotwister #GlobeiPhone5 #TwisterPrize #BigAssXmasGiveaway =))) Merry Kreezmuz!!","natspadilla@twitter.com (christeenroy padilla)"
"8","Thu, 13 Dec 2012 01:57:42 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 571","carldesales@twitter.com (B▲DDIE_C▲RL)"
"9","Thu, 13 Dec 2012 01:57:28 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","IamLuvstarLaine@twitter.com (Luvstar Laine )"
"10","Thu, 13 Dec 2012 01:57:27 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"11","Thu, 13 Dec 2012 01:57:22 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"12","Thu, 13 Dec 2012 01:57:17 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"13","Thu, 13 Dec 2012 01:57:16 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 570","carldesales@twitter.com (B▲DDIE_C▲RL)"
"14","Thu, 13 Dec 2012 01:57:14 +0000","RT @djmotwister: #GlobeiPhone5","IamWallaby@twitter.com (Jhunalyn Modesto)"
"15","Thu, 13 Dec 2012 01:57:14 +0000","#GlobeiPhone5 is coming tomorrow :) #PostPaid #GlobeiPhone5 http://t.co/ByBVUsLb","itsrafzderxredz@twitter.com (Rafzder Alcaraz)"
"16","Thu, 13 Dec 2012 01:57:12 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"17","Thu, 13 Dec 2012 01:57:07 +0000","✨WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"18","Thu, 13 Dec 2012 01:57:06 +0000","NAMAN! ;-) #SmartiPhone5 RT @geek_orthodoc: Question of the day #SmartiPhone5  vs. #GlobeiPhone5","madz_pestano@twitter.com (Madz Pestaño)"
"19","Thu, 13 Dec 2012 01:56:52 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 569","carldesales@twitter.com (B▲DDIE_C▲RL)"
"20","Thu, 13 Dec 2012 01:56:49 +0000","RT @geek_orthodoc: Question of the day #SmartiPhone5  vs. #GlobeiPhone5 - Question of the Day? Sino mag T-Trend? ☺","immarkyboi@twitter.com (Mark Bautista)"
"21","Thu, 13 Dec 2012 01:56:48 +0000","RT @GeekyNights : WIN a #GLOBEiPhone5 by watching this video http://t.co/QlaA47ed  &amp; follow this procedure: http://t.co/Rpk14XIR","axedmozo@twitter.com (Philip D'Great)"
"22","Thu, 13 Dec 2012 01:56:47 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"23","Thu, 13 Dec 2012 01:56:45 +0000","RT @djmotwister: #GlobeiPhone5","Rexzy_@twitter.com (Rexzy Tabon,PTRP)"
"24","Thu, 13 Dec 2012 01:56:41 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"25","Thu, 13 Dec 2012 01:56:27 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 568","carldesales@twitter.com (B▲DDIE_C▲RL)"
"26","Thu, 13 Dec 2012 01:56:13 +0000","RT @djmotwister: #GlobeiPhone5","fineappley@twitter.com (Apple)"
"27","Thu, 13 Dec 2012 01:56:00 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 567","carldesales@twitter.com (B▲DDIE_C▲RL)"
"28","Thu, 13 Dec 2012 01:55:58 +0000","And they are setting it up! #GlobeiPhone5 @enjoyGLOBE http://t.co/125xVZBj","JCinWinupd8@twitter.com (Jey Si)"
"29","Thu, 13 Dec 2012 01:55:18 +0000","@djmotwister are you giving away #GlobeiPhone5? :)","ea_serrano@twitter.com (EA Serrano™☆ )"
"30","Thu, 13 Dec 2012 01:54:55 +0000","RT @beckynights: Find out who won the iPhone Drop Challenge and win a #GLOBEiPhone5 ! http://t.co/nXjLRJG7 RT!!! ******---","PIAVERNAIRISH@twitter.com (Pia Verna Irish)"
"31","Thu, 13 Dec 2012 01:54:45 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","MitchLovesJLO@twitter.com (michelle love)"
"32","Thu, 13 Dec 2012 01:54:44 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 566","carldesales@twitter.com (B▲DDIE_C▲RL)"
